# U  arc  E1  E2  E3  E4
0.0000  5.491187  -0.84522313  -0.84522313  0.84522313  0.84522313
0.0000  5.508787  -0.85194043  -0.85194043  0.85194043  0.85194043
0.0000  5.526387  -0.85851432  -0.85851432  0.85851432  0.85851432
0.0000  5.543987  -0.86494429  -0.86494429  0.86494429  0.86494429
0.0000  5.561587  -0.87122984  -0.87122984  0.87122984  0.87122984
0.0000  5.579187  -0.87737048  -0.87737048  0.87737048  0.87737048
0.0000  5.596787  -0.88336574  -0.88336574  0.88336574  0.88336574
0.0000  5.614387  -0.88921515  -0.88921515  0.88921515  0.88921515
0.0000  5.631987  -0.89491827  -0.89491827  0.89491827  0.89491827
0.0000  5.649587  -0.90047464  -0.90047464  0.90047464  0.90047464
0.0000  5.667187  -0.90588384  -0.90588384  0.90588384  0.90588384
0.0000  5.684787  -0.91114546  -0.91114546  0.91114546  0.91114546
0.0000  5.702387  -0.91625907  -0.91625907  0.91625907  0.91625907
0.0000  5.719987  -0.92122430  -0.92122430  0.92122430  0.92122430
0.0000  5.737587  -0.92604074  -0.92604074  0.92604074  0.92604074
0.0000  5.755187  -0.93070803  -0.93070803  0.93070803  0.93070803
0.0000  5.772787  -0.93522582  -0.93522582  0.93522582  0.93522582
0.0000  5.790386  -0.93959374  -0.93959374  0.93959374  0.93959374
0.0000  5.807986  -0.94381145  -0.94381145  0.94381145  0.94381145
0.0000  5.825586  -0.94787865  -0.94787865  0.94787865  0.94787865
0.0000  5.843186  -0.95179500  -0.95179500  0.95179500  0.95179500
0.0000  5.860786  -0.95556020  -0.95556020  0.95556020  0.95556020
0.0000  5.878386  -0.95917397  -0.95917397  0.95917397  0.95917397
0.0000  5.895986  -0.96263602  -0.96263602  0.96263602  0.96263602
0.0000  5.913586  -0.96594609  -0.96594609  0.96594609  0.96594609
0.0000  5.931186  -0.96910391  -0.96910391  0.96910391  0.96910391
0.0000  5.948786  -0.97210925  -0.97210925  0.97210925  0.97210925
0.0000  5.966386  -0.97496188  -0.97496188  0.97496188  0.97496188
0.0000  5.983986  -0.97766156  -0.97766156  0.97766156  0.97766156
0.0000  6.001586  -0.98020809  -0.98020809  0.98020809  0.98020809
0.0000  6.019186  -0.98260128  -0.98260128  0.98260128  0.98260128
0.0000  6.036786  -0.98484094  -0.98484094  0.98484094  0.98484094
0.0000  6.054386  -0.98692689  -0.98692689  0.98692689  0.98692689
0.0000  6.071986  -0.98885898  -0.98885898  0.98885898  0.98885898
0.0000  6.089586  -0.99063705  -0.99063705  0.99063705  0.99063705
0.0000  6.107186  -0.99226097  -0.99226097  0.99226097  0.99226097
0.0000  6.124786  -0.99373061  -0.99373061  0.99373061  0.99373061
0.0000  6.142386  -0.99504586  -0.99504586  0.99504586  0.99504586
0.0000  6.159986  -0.99620662  -0.99620662  0.99620662  0.99620662
0.0000  6.177586  -0.99721278  -0.99721278  0.99721278  0.99721278
0.0000  6.195186  -0.99806429  -0.99806429  0.99806429  0.99806429
0.0000  6.212785  -0.99876107  -0.99876107  0.99876107  0.99876107
0.0000  6.230385  -0.99930306  -0.99930306  0.99930306  0.99930306
0.0000  6.247985  -0.99969024  -0.99969024  0.99969024  0.99969024
0.0000  6.265585  -0.99992255  -0.99992255  0.99992255  0.99992255
0.0000  6.283185  -1.00000000  -1.00000000  1.00000000  1.00000000
0.0000  6.313669  -1.00069669  -1.00069669  1.00069669  1.00069669
0.0000  6.344153  -1.00278334  -1.00278334  1.00278334  1.00278334
0.0000  6.374637  -1.00624986  -1.00624986  1.00624986  1.00624986
0.0000  6.405121  -1.01107964  -1.01107964  1.01107964  1.01107964
0.0000  6.435605  -1.01724995  -1.01724995  1.01724995  1.01724995
0.0000  6.466089  -1.02473229  -1.02473229  1.02473229  1.02473229
0.0000  6.496573  -1.03349304  -1.03349304  1.03349304  1.03349304
0.0000  6.527057  -1.04349396  -1.04349396  1.04349396  1.04349396
0.0000  6.557542  -1.05469291  -1.05469291  1.05469291  1.05469291
0.0000  6.588026  -1.06704451  -1.06704451  1.06704451  1.06704451
0.0000  6.618510  -1.08050078  -1.08050078  1.08050078  1.08050078
0.0000  6.648994  -1.09501179  -1.09501179  1.09501179  1.09501179
0.0000  6.679478  -1.11052629  -1.11052629  1.11052629  1.11052629
0.0000  6.709962  -1.12699226  -1.12699226  1.12699226  1.12699226
0.0000  6.740446  -1.14435741  -1.14435741  1.14435741  1.14435741
0.0000  6.770930  -1.16256963  -1.16256963  1.16256963  1.16256963
0.0000  6.801414  -1.18157737  -1.18157737  1.18157737  1.18157737
0.0000  6.831898  -1.20132993  -1.20132993  1.20132993  1.20132993
0.0000  6.862382  -1.22177776  -1.22177776  1.22177776  1.22177776
0.0000  6.892866  -1.24287267  -1.24287267  1.24287267  1.24287267
0.0000  6.923350  -1.26456795  -1.26456795  1.26456795  1.26456795
0.0000  6.953834  -1.28681849  -1.28681849  1.28681849  1.28681849
0.0000  6.984318  -1.30958089  -1.30958089  1.30958089  1.30958089
0.0000  7.014802  -1.33281348  -1.33281348  1.33281348  1.33281348
0.0000  7.045286  -1.35647632  -1.35647632  1.35647632  1.35647632
0.0000  7.075770  -1.38053123  -1.38053123  1.38053123  1.38053123
0.0000  7.106254  -1.40494174  -1.40494174  1.40494174  1.40494174
0.0000  7.136738  -1.42967307  -1.42967307  1.42967307  1.42967307
0.0000  7.167222  -1.45469206  -1.45469206  1.45469206  1.45469206
0.0000  7.197706  -1.47996713  -1.47996713  1.47996713  1.47996713
0.0000  7.228190  -1.50546821  -1.50546821  1.50546821  1.50546821
0.0000  7.258674  -1.53116669  -1.53116669  1.53116669  1.53116669
0.0000  7.289158  -1.55703533  -1.55703533  1.55703533  1.55703533
0.0000  7.319642  -1.58304820  -1.58304820  1.58304820  1.58304820
0.0000  7.350126  -1.60918062  -1.60918062  1.60918062  1.60918062
0.0000  7.380610  -1.63540909  -1.63540909  1.63540909  1.63540909
0.0000  7.411094  -1.66171121  -1.66171121  1.66171121  1.66171121
0.0000  7.441578  -1.68806563  -1.68806563  1.68806563  1.68806563
0.0000  7.472062  -1.71445201  -1.71445201  1.71445201  1.71445201
0.0000  7.502546  -1.74085092  -1.74085092  1.74085092  1.74085092
0.0000  7.533030  -1.76724381  -1.76724381  1.76724381  1.76724381
0.0000  7.563514  -1.79361295  -1.79361295  1.79361295  1.79361295
0.0000  7.593998  -1.81994141  -1.81994141  1.81994141  1.81994141
0.0000  7.624482  -1.84621297  -1.84621297  1.84621297  1.84621297
0.0000  7.654966  -1.87241210  -1.87241210  1.87241210  1.87241210
0.0000  7.685450  -1.89852391  -1.89852391  1.89852391  1.89852391
0.0000  7.715934  -1.92453414  -1.92453414  1.92453414  1.92453414
0.0000  7.746418  -1.95042907  -1.95042907  1.95042907  1.95042907
0.0000  7.776902  -1.97619555  -1.97619555  1.97619555  1.97619555
0.0000  7.807386  -2.00182093  -2.00182093  2.00182093  2.00182093
0.0000  7.837870  -2.02729304  -2.02729304  2.02729304  2.02729304
0.0000  7.868354  -2.05260016  -2.05260016  2.05260016  2.05260016
